"Date","Price","Open","High","Low","Vol.","Change %"
"10/31/2022","39,810.0","39,810.0","39,810.0","39,810.0","2.74K","-0.23%"
"10/28/2022","39,900.0","40,500.0","40,500.0","39,900.0","16.11K","-1.53%"
"10/27/2022","40,520.0","40,530.0","41,000.0","40,010.0","20.74K","-2.13%"
"10/26/2022","41,400.0","41,430.0","42,000.0","40,300.0","28.89K","-0.07%"
"10/25/2022","41,430.0","41,410.0","41,430.0","40,010.0","18.15K","-0.12%"
"10/24/2022","41,480.0","41,490.0","41,490.0","39,200.0","53.82K","1.17%"
"10/21/2022","41,000.0","40,330.0","41,280.0","39,170.0","27.29K","3.80%"
"10/20/2022","39,500.0","40,300.0","41,000.0","39,500.0","21.78K","-2.01%"
"10/19/2022","40,310.0","35,010.0","40,310.0","35,010.0","25.50K","6.13%"
"10/18/2022","37,980.0","37,490.0","37,980.0","36,970.0","24.95K","1.06%"
"10/14/2022","37,580.0","36,900.0","37,580.0","34,000.0","67.09K","1.57%"
"10/13/2022","37,000.0","37,000.0","37,000.0","36,990.0","7.99K","0.00%"
"10/12/2022","37,000.0","37,000.0","37,000.0","36,700.0","6.81K","-2.12%"
"10/11/2022","37,800.0","38,780.0","38,780.0","37,800.0","2.43K","3.00%"
"10/07/2022","36,700.0","36,830.0","37,000.0","36,700.0","1.79K","-0.35%"
"10/06/2022","36,830.0","37,000.0","37,000.0","36,600.0","10.57K","-0.46%"
"10/05/2022","37,000.0","37,330.0","37,580.0","36,650.0","37.29K","-0.88%"
"10/04/2022","37,330.0","36,300.0","38,480.0","36,000.0","13.02K","-0.72%"
"10/03/2022","37,600.0","38,000.0","38,000.0","37,600.0","3.10K","0.27%"
"09/30/2022","37,500.0","38,620.0","39,100.0","36,700.0","46.51K","-5.09%"
"09/29/2022","39,510.0","39,990.0","40,100.0","39,510.0","10.46K","-3.33%"
"09/28/2022","40,870.0","39,800.0","40,870.0","39,800.0","11.23K","2.02%"
"09/27/2022","40,060.0","39,830.0","40,600.0","39,510.0","34.05K","-3.47%"
"09/26/2022","41,500.0","40,000.0","41,500.0","39,800.0","23.81K","1.22%"
"09/23/2022","41,000.0","41,000.0","41,000.0","41,000.0","1.53K","0.24%"
"09/22/2022","40,900.0","40,820.0","41,800.0","40,800.0","9.28K","0.25%"
"09/21/2022","40,800.0","38,000.0","43,000.0","38,000.0","54.47K","7.94%"
"09/20/2022","37,800.0","36,700.0","37,800.0","35,490.0","41.35K","2.72%"
"09/19/2022","36,800.0","35,010.0","37,000.0","35,010.0","21.29K","1.66%"
"09/16/2022","36,200.0","35,400.0","36,200.0","34,570.0","732.57K","-0.55%"
"09/15/2022","36,400.0","36,390.0","36,400.0","35,800.0","63.34K","1.39%"
"09/14/2022","35,900.0","35,510.0","35,900.0","32,500.0","227.92K","0.00%"
"09/13/2022","35,900.0","37,100.0","37,100.0","35,500.0","34.90K","-5.03%"
"09/12/2022","37,800.0","39,000.0","39,000.0","37,780.0","19.46K","-3.08%"
"09/09/2022","39,000.0","37,000.0","39,000.0","36,540.0","57.11K","7.50%"
"09/07/2022","36,280.0","36,500.0","36,500.0","36,280.0","34.58K","-1.57%"
"09/06/2022","36,860.0","36,970.0","36,970.0","34,530.0","16.01K","-0.30%"
"09/05/2022","36,970.0","37,890.0","37,890.0","36,970.0","7.62K","2.69%"
"09/02/2022","36,000.0","38,000.0","38,000.0","34,000.0","29.73K","-2.70%"
"09/01/2022","37,000.0","38,740.0","38,740.0","37,000.0","11.08K","0.00%"
"08/31/2022","37,000.0","38,900.0","39,000.0","37,000.0","33.33K","-7.01%"
"08/30/2022","39,790.0","39,400.0","39,790.0","39,400.0","13.12K","0.28%"
"08/29/2022","39,680.0","39,220.0","39,680.0","39,220.0","8.92K","1.17%"
"08/26/2022","39,220.0","39,220.0","39,870.0","39,220.0","2.38K","-1.95%"
"08/25/2022","40,000.0","40,500.0","40,500.0","39,800.0","22.25K","0.03%"
"08/24/2022","39,990.0","39,900.0","39,990.0","39,120.0","2.00K","2.30%"
"08/23/2022","39,090.0","39,910.0","39,910.0","39,090.0","4.57K","-4.66%"
"08/22/2022","41,000.0","40,200.0","41,590.0","39,320.0","52.57K","1.99%"
"08/19/2022","40,200.0","39,890.0","41,000.0","39,520.0","27.57K","1.77%"
"08/18/2022","39,500.0","39,910.0","39,910.0","39,500.0","5.12K","-1.00%"
"08/17/2022","39,900.0","38,760.0","40,000.0","38,760.0","18.22K","2.94%"
"08/16/2022","38,760.0","39,400.0","39,900.0","38,760.0","52.57K","-1.62%"
"08/12/2022","39,400.0","39,400.0","39,770.0","39,400.0","24.48K","0.00%"
"08/11/2022","39,400.0","39,400.0","39,400.0","39,380.0","21.28K","0.00%"
"08/10/2022","39,400.0","38,530.0","40,350.0","38,530.0","21.61K","-0.33%"
"08/09/2022","39,530.0","39,340.0","39,530.0","38,500.0","40.96K","1.10%"
